vehicle_id,vehicle_type,manufacturer,model,prod_year,category,leather interior,fuel_type,engine_volume,mileage,cylinders,gear_box_type,drive_wheels,doors,wheel,color,airbags,levy,price
45768550,auto,TOYOTA,Highlander,2009,Jeep,1,Hybrid,3.3,420550,6,Automatic,4x4,4,Left wheel,Blue,12,1537,12074
44944581,auto,MERCEDES-BENZ,Vito,2007,Goods wagon,0,Diesel,2.0 Turbo,180000,6,Manual,Rear,4,Left wheel,White,4,1288,15681
45760983,auto,PORSCHE,Cayenne,2014,Jeep,1,Diesel,3,175056,6,Automatic,4x4,4,Left wheel,White,12,915,19444
45790136,auto,BMW,X5,2000,Jeep,1,CNG,4.4,200000,8,Automatic,4x4,4,Left wheel,Silver,6,0,6899
45770026,auto,TOYOTA,Highlander,2008,Sedan,1,Hybrid,3.3,287274,6,Automatic,4x4,4,Left wheel,White,12,1750,125
45542380,auto,JEEP,Grand Cherokee,2007,Jeep,1,Diesel,3.0 Turbo,250000,6,Tiptronic,4x4,4,Left wheel,Black,10,0,24462
45732374,auto,HYUNDAI,Santa FE,2011,Jeep,1,Diesel,2,162000,4,Automatic,Front,4,Left wheel,Grey,4,707,23235
45369569,auto,TOYOTA,CHR Limited,2019,Jeep,0,Petrol,2,10200,4,Tiptronic,Front,4,Left wheel,Red,12,1077,51746
45642526,auto,HONDA,FIT,2010,Hatchback,0,Hybrid,1.3,158000,4,Automatic,Front,4,Right-hand drive,Black,4,1486,7527
45801668,auto,HYUNDAI,Elantra,2012,Sedan,1,Petrol,1.6,103490,4,Automatic,Front,4,Left wheel,Silver,4,531,19121
45661296,auto,LEXUS,RX 450,2010,Jeep,1,Hybrid,3.5,382746,6,Automatic,4x4,4,Left wheel,Silver,12,1399,314
45815051,auto,TOYOTA,Camry,2013,Sedan,1,Petrol,2.4,203200,4,Automatic,Front,4,Left wheel,Blue,4,751,24462
45797488,auto,HYUNDAI,H1,2016,Universal,1,Diesel,2.5,61057,4,Automatic,Front,4,Left wheel,Black,4,1091,45734
45667253,auto,VOLKSWAGEN,Jetta,2016,Sedan,1,Petrol,1.4 Turbo,11200,4,Tiptronic,Front,4,Left wheel,Black,8,650,20165
45108412,auto,HYUNDAI,Sonata,2014,Sedan,1,Hybrid,2.4,141000,4,Tiptronic,Front,4,Left wheel,White,12,382,21326
45810322,auto,PORSCHE,Cayenne,2010,Jeep,1,Petrol,3.6,160259,6,Automatic,4x4,4,Left wheel,Silver,12,1436,549
45769564,auto,TOYOTA,Tacoma,2013,Jeep,1,Petrol,4,239342,6,Automatic,4x4,4,Left wheel,Silver,12,1194,220
45726453,auto,TOYOTA,Prius C,2012,Hatchback,0,Hybrid,1.5,128000,4,Variator,Front,4,Left wheel,Sky blue,8,503,15681
45732544,auto,HYUNDAI,Santa FE,2017,Jeep,1,Diesel,2,100734,4,Automatic,Front,4,Left wheel,Black,4,1017,55390
45811563,auto,TOYOTA,Aqua,2012,Hatchback,0,Hybrid,1.5,141500,4,Automatic,Front,4,Right-hand drive,Black,8,0,12544
45699930,auto,FORD,Escape Hybrid,2008,Jeep,0,Hybrid,2.3,147000,4,Variator,4x4,4,Left wheel,White,8,0,17249
45809839,auto,HONDA,Civic,2016,Sedan,1,Petrol,2,87768,4,Automatic,Front,4,Left wheel,Blue,4,891,34889
45767508,auto,AUDI,Q7,2015,Jeep,1,Petrol,3,264014,6,Automatic,4x4,4,Left wheel,Black,0,1104,862
45802148,auto,RENAULT,Megane 1.5CDI,2008,Sedan,0,Diesel,1.5 Turbo,132542,4,Manual,Front,4,Left wheel,White,10,0,14583
45769316,auto,MERCEDES-BENZ,E 300,2017,Sedan,1,Petrol,2,1600,4,Automatic,Rear,4,Left wheel,Black,12,1017,392
44153312,auto,AUDI,Q5,2014,Jeep,1,Petrol,2,87000,1,Tiptronic,4x4,4,Left wheel,White,12,639,38500
45782169,auto,MERCEDES-BENZ,C 180,2001,Coupe,0,Petrol,2,260000,4,Manual,Rear,2,Left wheel,Blue,0,0,8781
44316016,auto,MERCEDES-BENZ,GLA 250,2019,Jeep,1,Petrol,2.0 Turbo,5323,4,Tiptronic,4x4,4,Left wheel,Grey,0,0,87112
45641216,auto,NISSAN,Juke,2015,Jeep,1,Petrol,1.6,87112,4,Automatic,4x4,4,Left wheel,Black,0,629,1411
45813399,auto,BMW,535,2012,Sedan,1,Petrol,3,204318,6,Automatic,Rear,4,Left wheel,Black,12,919,392
44679525,auto,CHEVROLET,Cruze LT,2018,Sedan,0,Petrol,1.4 Turbo,22000,4,Automatic,Front,4,Left wheel,Red,6,781,23521
45418626,auto,FORD,Fusion,2013,Sedan,0,Petrol,1.6 Turbo,83000,4,Tiptronic,Front,4,Left wheel,Silver,8,530,16935
45323316,auto,TOYOTA,VOXY,2007,Minivan,1,Petrol,2.4,170000,4,Automatic,Front,4,Right-hand drive,Black,6,0,10349
45638910,auto,NISSAN,Juke,2013,Jeep,1,Petrol,1.6,312118,4,Automatic,Front,4,Left wheel,Black,0,530,7213
45778144,auto,MERCEDES-BENZ,A 160,2004,Sedan,0,Petrol,1.6,130000,4,Tiptronic,Front,4,Left wheel,Black,6,0,5331
45803923,auto,HYUNDAI,Tucson,2013,Jeep,1,Diesel,2,200279,4,Automatic,Front,4,Left wheel,Grey,4,640,20526
45803550,auto,HYUNDAI,Sonata,2015,Sedan,1,LPG,2,719847,4,Automatic,Front,4,Left wheel,Orange,4,765,9722
45802190,auto,HYUNDAI,H1,2014,Minivan,1,Diesel,2.5,154672,4,Automatic,Front,4,Left wheel,Silver,4,777,34657
45802203,auto,HYUNDAI,H1,2016,Minivan,1,Diesel,2.5,110969,4,Automatic,Front,4,Left wheel,Black,4,1091,36564
45648175,auto,TOYOTA,Camry,2013,Sedan,1,Hybrid,2.5,225510,4,Automatic,Front,4,Left wheel,White,12,779,314
45786421,auto,TOYOTA,Vitz,2001,Hatchback,0,Petrol,1.5,210000,4,Manual,Front,4,Right-hand drive,Sky blue,3,0,5488
45802120,auto,HYUNDAI,H1,2015,Universal,1,Diesel,2.5,148105,4,Automatic,Front,4,Left wheel,Silver,4,934,30063
45809414,auto,CHEVROLET,Captiva,2011,Jeep,1,Diesel,2.2,255456,4,Automatic,Front,4,Left wheel,Silver,4,769,15800
45797480,auto,HYUNDAI,H1,2017,Universal,1,Diesel,2.5,111643,4,Automatic,Front,4,Left wheel,Grey,4,1249,43952
45732043,auto,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,2,84506,4,Automatic,Front,4,Left wheel,Silver,4,891,53154
45816646,auto,TOYOTA,Prius,2011,Hatchback,0,Hybrid,1.8,288000,4,Automatic,Front,4,Left wheel,White,8,645,14740
45624039,auto,FORD,Mustang,2016,Cabriolet,1,Petrol,2.3 Turbo,75000,4,Tiptronic,Rear,2,Left wheel,Silver,6,0,42337
45814804,auto,MERCEDES-BENZ,ML 350,2014,Jeep,1,Petrol,3.5,94362,6,Automatic,Rear,4,Left wheel,White,12,1053,3763
45787521,auto,TOYOTA,Prius,2012,Sedan,0,Petrol,1.8,175000,4,Automatic,Front,4,Left wheel,Silver,8,0,18189
45759890,auto,LEXUS,GX 470,2008,Jeep,1,Petrol,4.7,263190,8,Automatic,4x4,4,Left wheel,White,0,2455,862
45758167,auto,FORD,Escape,2009,Jeep,1,Hybrid,2.5,193614,4,Automatic,Front,4,Left wheel,White,0,1185,220
45648538,auto,TOYOTA,Highlander,2010,Jeep,1,Hybrid,3.3,264877,6,Automatic,4x4,4,Left wheel,White,12,1324,5645
45757322,auto,TOYOTA,Yaris,2019,Sedan,1,Petrol,1.5,27656,4,Automatic,Front,4,Left wheel,White,12,830,7527
45800993,auto,HONDA,Civic,2014,Sedan,0,Hybrid,1.4,16000,8,Automatic,4x4,4,Right-hand drive,White,10,1187,21953
45765301,auto,HONDA,Cr-v,1998,Jeep,0,Petrol,2,0,4,Automatic,4x4,4,Right-hand drive,White,2,0,8154
45771208,auto,TOYOTA,Camry,2012,Sedan,0,Petrol,2.5,195053,4,Automatic,Front,4,Left wheel,Black,0,781,21953
45801684,auto,HYUNDAI,Elantra,2012,Sedan,1,Petrol,1.6,121362,4,Automatic,Front,4,Left wheel,Black,4,531,19121
45732386,auto,HYUNDAI,Santa FE,2014,Jeep,1,Diesel,2,69191,4,Automatic,Front,4,Left wheel,White,4,639,36065
43892866,auto,HONDA,FIT,2012,Hatchback,1,Hybrid,1.3,83000,4,Tiptronic,Front,4,Right-hand drive,Green,12,1111,8781
45810403,auto,CHEVROLET,Cruze,2010,Sedan,1,Petrol,1.8,40772,4,Automatic,Front,4,Left wheel,Black,4,760,6247
45810513,auto,CHEVROLET,Orlando,2012,Jeep,1,Diesel,2,172000,4,Automatic,Front,4,Left wheel,Grey,4,642,16289
45807330,auto,MERCEDES-BENZ,GL 63 AMG,2014,Jeep,1,Petrol,5.5,433811,8,Automatic,4x4,4,Left wheel,Black,10,1604,77775
45733554,auto,BMW,520 Vanos,1995,Sedan,1,Petrol,2,350000,6,Manual,Rear,4,Left wheel,Blue,2,0,2822
45769914,auto,SUBARU,Forester,2012,Jeep,1,Petrol,2.5,148213,4,Automatic,4x4,4,Left wheel,Blue,0,781,549
45744824,auto,DAEWOO,Lacetti,2008,Sedan,1,Petrol,2,103246,4,Automatic,Front,4,Left wheel,Black,4,1095,6981
45792882,auto,HYUNDAI,Elantra,2016,Sedan,0,Petrol,2,105394,4,Tiptronic,Front,4,Left wheel,Black,12,891,27284
45330228,auto,BMW,428 Sport Line,2013,Coupe,1,Petrol,2.0 Turbo,160000,4,Automatic,Rear,2,Left wheel,Black,12,0,32929
45776745,auto,NISSAN,Patrol,1990,Jeep,0,Diesel,2.8 Turbo,333333,4,Manual,Rear,4,Left wheel,Black,0,0,18817
45749534,auto,HONDA,Civic,1997,Hatchback,1,Petrol,1.4,0,4,Manual,Front,2,Left wheel,Blue,6,0,4234
45789555,auto,MERCEDES-BENZ,E 320,2004,Sedan,1,Petrol,3.2,214000,6,Tiptronic,Rear,4,Left wheel,Grey,8,0,15053
45797276,auto,HYUNDAI,Genesis,2009,Coupe,1,Petrol,2,123346,4,Automatic,Front,4,Left wheel,Black,4,966,15458
45809760,auto,CHEVROLET,Cruze,2014,Sedan,1,Petrol,1.4,80827,4,Automatic,Front,4,Left wheel,Green,12,473,2901
45810325,auto,PORSCHE,911,2013,Coupe,1,Petrol,3.8,64464,6,Automatic,Rear,2,Left wheel,Black,12,1138,706
45813375,auto,FORD,Fusion,2015,Sedan,1,Hybrid,2,91760,4,Automatic,Front,4,Left wheel,Black,12,382,314
45756975,auto,LEXUS,GX 460,2010,Jeep,1,Petrol,4.6,275240,8,Automatic,4x4,4,Left wheel,Silver,0,1811,15681
45776758,auto,MERCEDES-BENZ,Sprinter,2004,Microbus,0,Diesel,2.2 Turbo,300000,4,Manual,Rear,4,Left wheel,White,1,0,26657
45550733,auto,TOYOTA,Prius,2007,Hatchback,0,Petrol,1.5,318400,4,Automatic,Front,4,Left wheel,Silver,6,988,10663
44094036,auto,FORD,Focus SE,2015,Sedan,0,Petrol,2,91200,4,Automatic,Front,4,Left wheel,Sky blue,10,765,12858
45642797,auto,BMW,X5,2013,Jeep,1,Diesel,3,137802,6,Automatic,4x4,4,Left wheel,Black,12,917,1019
45760895,auto,BMW,535,2013,Sedan,1,Hybrid,3,151586,6,Automatic,Rear,4,Left wheel,White,12,917,549
45742789,auto,KIA,Picanto,2016,Hatchback,0,Petrol,1.2,107000,4,Manual,Front,4,Left wheel,Silver,2,0,12858
45783859,auto,BMW,328,2008,Sedan,1,CNG,3,210408,6,Tiptronic,Rear,4,Left wheel,White,12,0,15000
45808992,auto,FORD,Explorer,2017,Jeep,1,Petrol,2.3,100567,4,Automatic,Front,4,Left wheel,Black,4,1156,85553
45731735,auto,HYUNDAI,H1,2016,Universal,1,Diesel,2.5,86000,4,Automatic,Front,4,Left wheel,Grey,4,1091,44752
45797948,auto,HYUNDAI,Elantra,2010,Sedan,1,Petrol,1.6,122740,4,Automatic,Front,4,Left wheel,White,4,687,17158
45782067,auto,MITSUBISHI,Airtrek,2005,Jeep,0,LPG,2.4,144000,4,Tiptronic,4x4,4,Right-hand drive,White,16,0,12231
45534351,auto,MERCEDES-BENZ,E 500 AMG,2003,Sedan,1,Petrol,5,150000,12,Tiptronic,Rear,4,Right-hand drive,White,12,11714,11917
45753393,auto,MITSUBISHI,Lancer,1997,Sedan,0,Petrol,1.3,100000,4,Manual,Rear,4,Left wheel,Red,0,0,1254
45624923,auto,HONDA,FIT,2003,Hatchback,0,Petrol,1.5,178000,4,Variator,Front,4,Right-hand drive,Silver,4,0,94
45726679,auto,SSANGYONG,Korando,2013,Jeep,1,Diesel,2,85704,4,Automatic,Front,4,Left wheel,Silver,4,640,25591
45803059,auto,HYUNDAI,Santa FE,2010,Jeep,1,Diesel,2,58962,4,Automatic,Front,4,Left wheel,White,4,836,14897
45770405,auto,TOYOTA,Camry,2013,Sedan,1,Hybrid,2.5,90000,4,Tiptronic,Front,4,Left wheel,White,12,779,23521
45787329,auto,RENAULT,Clio,1995,Hatchback,0,Petrol,1.2,50000,3,Manual,Front,2,Left wheel,Green,0,0,3450
45763505,auto,MAZDA,616,2014,Sedan,1,Petrol,2.5,0,4,Automatic,Front,4,Left wheel,Red,12,777,706
45767451,auto,TOYOTA,Highlander,2009,Sedan,1,Hybrid,3.3,318358,6,Automatic,4x4,4,Left wheel,Black,12,1537,1019
45636958,auto,FORD,Fusion,2015,Sedan,1,Petrol,2,71454,4,Automatic,Front,4,Left wheel,Black,0,765,16935
45757670,auto,TOYOTA,Camry,2012,Sedan,1,Petrol,2.5,0,4,Tiptronic,Front,4,Left wheel,Black,6,781,19444
45733244,auto,HYUNDAI,Sonata,2014,Sedan,1,LPG,2,346470,4,Automatic,Front,4,Left wheel,Silver,4,639,11604
45802837,auto,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,2,59515,4,Automatic,Front,4,Left wheel,Blue,4,891,51965
45646428,auto,TOYOTA,Camry,2014,Sedan,1,Hybrid,2.5,115312,4,Automatic,Front,4,Left wheel,Grey,12,394,706
45801896,auto,MERCEDES-BENZ,C 220,1999,Sedan,0,Diesel,2.2 Turbo,111111,4,Manual,Rear,4,Left wheel,Silver,4,0,9408
45797732,auto,HYUNDAI,H1,2008,Minivan,1,Diesel,2.5,74444,4,Automatic,Front,4,Left wheel,Yellow,4,1347,13328
45762683,auto,NISSAN,Serena,2012,Minivan,0,Petrol,2,143000,4,Tiptronic,Front,4,Right-hand drive,White,12,0,17876
45767013,auto,NISSAN,Maxima,2004,Sedan,1,Petrol,3.5,299709,6,Automatic,Front,4,Left wheel,Grey,12,2866,549
45732074,auto,TOYOTA,RAV 4,2008,Jeep,0,Petrol,2.4,135000,4,Automatic,4x4,4,Left wheel,Silver,8,0,20071
45731782,auto,HYUNDAI,H1,2011,Minivan,1,Diesel,2.5,124444,4,Automatic,Front,4,Left wheel,Yellow,4,862,22894
45662111,auto,HONDA,Civic,2012,Sedan,1,Hybrid,1.5,146403,4,Automatic,Front,4,Left wheel,White,0,503,2901
45766794,auto,MITSUBISHI,Pajero,1997,Jeep,0,Petrol,2.4,142000,4,Automatic,4x4,2,Left wheel,Blue,6,0,15681
45764126,auto,LEXUS,GX 460,2010,Jeep,1,Petrol,4.6,155821,8,Automatic,4x4,4,Left wheel,Black,0,1811,39829
45768549,auto,LEXUS,GX 460,2015,Jeep,1,Petrol,4.6,102907,8,Automatic,4x4,4,Left wheel,Black,0,1646,706
44698379,auto,HYUNDAI,Sonata,2013,Sedan,1,Petrol,2.4,130000,4,Tiptronic,Front,4,Left wheel,Black,6,0,18660
45770233,auto,MERCEDES-BENZ,E 300,2017,Sedan,1,Petrol,2,50930,4,Automatic,Rear,4,Left wheel,Black,12,1017,22580
45803455,auto,HYUNDAI,Sonata,2014,Sedan,1,LPG,2,264872,4,Automatic,Front,4,Left wheel,Silver,4,639,11604
45760030,auto,CHEVROLET,Volt,2014,Hatchback,1,Hybrid,1.4,131893,4,Automatic,Front,4,Left wheel,Brown,0,259,314
45810339,auto,GMC,TERRAIN,2013,Jeep,1,Petrol,2.4,138958,4,Automatic,Front,4,Left wheel,Black,12,751,5488
45759786,auto,MERCEDES-BENZ,208,1985,Universal,0,Diesel,2.5,1111111,4,Manual,Rear,4,Left wheel,Black,1,0,4300
45642844,auto,TOYOTA,Camry,2018,Sedan,1,Hybrid,2.5,35058,4,Automatic,Front,4,Left wheel,White,12,609,18817
44921934,auto,HONDA,Hr-v EX,2015,Jeep,0,Petrol,1.8,33330,4,Automatic,4x4,4,Left wheel,Grey,8,697,21169
45462592,auto,FIAT,500,2011,Coupe,0,Petrol,1.2,141000,4,Automatic,Front,2,Right-hand drive,Red,4,0,9095
45634898,auto,VOLKSWAGEN,Jetta,2014,Sedan,1,Diesel,2,82392,4,Automatic,Front,4,Left wheel,Silver,12,639,1568
45777114,auto,SUBARU,Legacy,2005,Goods wagon,0,Petrol,2.0 Turbo,180000,6,Tiptronic,4x4,4,Right-hand drive,Blue,6,0,3136
45451626,auto,HYUNDAI,Elantra sport limited,2013,Sedan,1,Petrol,1.8,117920,4,Tiptronic,Front,4,Left wheel,Grey,12,585,17876
45732976,auto,HYUNDAI,Sonata,2016,Sedan,1,LPG,2,279787,4,Automatic,Front,4,Left wheel,Silver,4,891,11290
44452971,auto,TOYOTA,Sienna,2010,Minivan,1,Petrol,3.5,227200,6,Tiptronic,Front,4,Left wheel,White,16,1399,36065
45648000,auto,TOYOTA,Camry,2014,Sedan,1,Hybrid,2.5,130478,4,Automatic,Front,4,Left wheel,White,12,394,862
45796845,auto,HYUNDAI,H1,2012,Universal,1,Diesel,2.5,166144,4,Automatic,Front,4,Left wheel,Silver,4,781,21395
45733140,auto,HYUNDAI,Sonata,2016,Sedan,1,LPG,2,258706,4,Automatic,Front,4,Left wheel,Silver,4,891,15681
45762282,auto,CHEVROLET,Volt,2012,Jeep,1,Hybrid,1.4,188419,4,Automatic,Front,4,Left wheel,Red,0,475,627
45810003,auto,TOYOTA,Aqua,2016,Hatchback,1,Petrol,1.5,25807,4,Automatic,Front,4,Left wheel,Black,4,690,40070
44875253,auto,MERCEDES-BENZ,A 170,2008,Hatchback,0,Petrol,1.7,180000,4,Automatic,Front,4,Left wheel,Golden,8,0,11917
45807577,auto,LEXUS,NX 300,2018,Jeep,1,Petrol,2.0 Turbo,18918,4,Tiptronic,Front,4,Left wheel,Black,6,1079,72130
45729867,auto,SSANGYONG,REXTON,2013,Jeep,1,Diesel,2,137267,4,Automatic,Front,4,Left wheel,Silver,4,640,35927
45801397,auto,TOYOTA,Prius,2014,Sedan,0,Hybrid,1.8,160000,4,Automatic,4x4,4,Left wheel,White,4,308,21012
45765622,auto,TOYOTA,Tacoma,2018,Sedan,1,Petrol,3.5,27358,6,Automatic,Front,4,Left wheel,Grey,12,1823,21012
45781785,auto,KIA,Carnival grand,2009,Minivan,1,Diesel,2.9,84176,4,Automatic,Front,4,Left wheel,White,6,1361,13172
45802035,auto,HYUNDAI,Genesis,2011,Coupe,1,Petrol,2,107005,4,Automatic,Front,4,Left wheel,Grey,4,707,15624
45811318,auto,OPEL,Vectra,1997,Sedan,0,Petrol,1.6,15000,4,Manual,Front,4,Left wheel,Beige,2,0,4547
45751101,auto,INFINITI,QX60,2015,Jeep,1,Petrol,3.5,124154,6,Automatic,4x4,4,Left wheel,Black,12,1273,5488
45801611,auto,HYUNDAI,Elantra,2012,Sedan,1,Petrol,1.6,104997,4,Automatic,Front,4,Left wheel,White,4,531,20005
45792460,auto,VOLKSWAGEN,Passat,2017,Sedan,1,Petrol,1.8,27728,6,Tiptronic,Front,4,Left wheel,Silver,8,924,36110
45798511,auto,MERCEDES-BENZ,E 240 E 240,1998,Sedan,1,Petrol,2.4,777777,6,Manual,Rear,4,Left wheel,Blue,4,0,7840
45765057,auto,MAZDA,1000,2019,Jeep,1,Petrol,2,11566,4,Automatic,4x4,4,Left wheel,Black,12,1077,470
45782173,auto,AUDI,50,2018,Coupe,1,Petrol,0.5,4000,1,Tiptronic,Rear,>5,Right-hand drive,Blue,0,0,1300
45802937,auto,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,2,113700,4,Automatic,Front,4,Left wheel,Silver,4,891,43880
45675386,auto,MERCEDES-BENZ,C 250,2014,Sedan,1,Petrol,1.8 Turbo,69000,4,Tiptronic,Rear,4,Left wheel,Grey,8,584,29479
45795520,auto,TOYOTA,Camry,2011,Sedan,1,Hybrid,2.5,152000,4,Variator,Front,4,Left wheel,White,12,0,17249
45778720,auto,TOYOTA,Vitz funkargo,2003,Universal,0,Petrol,1.5,181926,4,Automatic,4x4,4,Right-hand drive,Silver,2,0,9408
45802938,auto,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,2,50255,4,Automatic,Front,4,Left wheel,Red,4,891,44213
45801304,auto,BMW,325,2001,Sedan,1,Petrol,2.5,252800,6,Manual,Rear,4,Left wheel,Grey,6,2078,8467
45808583,auto,AUDI,A6,2014,Sedan,1,Petrol,3,164488,6,Automatic,4x4,4,Left wheel,Silver,12,915,627
45395938,auto,FORD,Transit,2011,Goods wagon,0,Diesel,2.4 Turbo,125000,4,Manual,4x4,4,Left wheel,White,2,831,21950
45810208,auto,FIAT,500,2012,Hatchback,1,Petrol,1.4,164574,4,Automatic,Front,4,Left wheel,Red,12,475,706
45766275,auto,CHEVROLET,Cruze,2014,Sedan,1,Petrol,1.4,156992,4,Automatic,Front,4,Left wheel,Black,12,473,3136
45793851,auto,OPEL,Vectra,1995,Sedan,0,CNG,2,0,4,Manual,Front,4,Left wheel,White,2,0,3450
45805913,auto,MITSUBISHI,Pajero,1998,Jeep,0,Petrol,3.5 Turbo,11000,6,Tiptronic,4x4,4,Right-hand drive,Silver,4,0,9408
45793479,auto,NISSAN,Pathfinder,2010,Jeep,1,LPG,4,90200,6,Tiptronic,4x4,4,Left wheel,Black,12,0,31500
43390500,auto,MITSUBISHI,Delica,2005,Minivan,1,Petrol,3,184000,6,Automatic,4x4,4,Right-hand drive,White,12,0,20385
45769518,auto,MERCEDES-BENZ,E 350,2014,Sedan,1,Diesel,3.5,149486,6,Automatic,4x4,4,Left wheel,Silver,12,1053,314
45792823,auto,VOLKSWAGEN,Golf,1996,Sedan,0,CNG,2,0,4,Manual,Front,4,Left wheel,Green,0,0,2300
45776494,auto,MERCEDES-BENZ,Vaneo,2004,Universal,0,LPG,1.9,170000,4,Tiptronic,Front,4,Left wheel,Silver,4,0,7840
45787317,auto,TOYOTA,Camry Se,2018,Sedan,1,Petrol,2.5,25000,4,Tiptronic,Front,4,Left wheel,Blue,12,0,56450
45813281,auto,VOLKSWAGEN,Jetta,2014,Universal,1,Diesel,2,113214,4,Automatic,Front,4,Left wheel,Grey,12,639,1490
45772050,auto,TOYOTA,Tacoma,2012,Sedan,1,Petrol,2.7,394069,4,Automatic,Rear,4,Left wheel,Black,12,836,627
45771040,auto,MERCEDES-BENZ,E 350,2014,Sedan,1,Diesel,3.5,149486,6,Automatic,4x4,4,Left wheel,Silver,12,1053,314
45788160,auto,HONDA,Cr-v,2002,Jeep,0,Petrol,2.4,260000,4,Automatic,4x4,4,Left wheel,Silver,6,0,13172
45776729,auto,NISSAN,Patrol Y60,1990,Jeep,0,Diesel,2.8 Turbo,222222,4,Manual,Rear,4,Left wheel,Black,0,0,19757
45646578,auto,AUDI,A7,2013,Hatchback,1,Petrol,3,301707,6,Automatic,4x4,4,Left wheel,Grey,0,917,4704
